Region and country of last residence,Total,Family-sponsored preferences,Employment-based preferences,Immediate relatives of U.S. citizens,Diversity,Refugees and asylees,Other
Moldova," 2,405 ", 77 , 56 , 726 ," 1,276 ", 265 , 5 
Monaco, 14 , D , 5 , 5 , D , - , - 
Mongolia, 632 , 31 , 86 , 330 , 67 , 97 , 21 
Montenegro, 249 , 37 , 7 , 185 , D , 13 , D 
Montserrat, 10 , D , - , D , D , - , - 
Morocco," 3,569 ", 288 , 70 ," 2,276 ", 896 , 29 , 10 
Mozambique, 165 , 5 , 10 , 25 , 7 , 118 , - 
Namibia, 168 , D , 9 , 32 , D , 121 , - 
Nepal," 18,936 ", 647 ," 1,258 "," 2,154 "," 3,402 "," 11,457 ", 18 
Netherlands," 1,505 ", 50 , 693 , 678 , 67 , 13 , 4 
Netherlands Antilles (former), 25 , - , 10 , 15 , - , - , - 
New Zealand, 978 , 61 , 282 , 500 , 131 , D , D 
Nicaragua," 3,262 ", 810 , 66 ," 2,133 ", 3 , 119 , 131 
Niger, 61 , D , D , 45 , 8 , D , - 
Nigeria," 11,120 "," 1,630 ", 667 ," 8,131 ", 530 , 134 , 28 
Norway, 357 , 14 , 114 , 214 , 10 , D , D 
Oman, 209 , 17 , 72 , 57 , 32 , 26 , 5 
Pakistan," 17,598 "," 6,627 "," 1,944 "," 8,124 ", 21 , 806 , 76 
Palau, 18 , D , 4 , 10 , - , D , - 
Panama," 1,133 ", 191 , 113 , 770 , 8 , 38 , 13 
Papua New Guinea, 15 , D , 5 , 6 , D , - , - 
Paraguay, 353 , 23 , 50 , 259 , - , 18 , 3 
Peru," 9,973 "," 2,504 ", 482 ," 6,611 ", - , 155 , 221 
Philippines," 54,307 "," 15,486 "," 9,459 "," 29,103 ", 6 , 15 , 238 
Poland," 4,921 ", 872 , 648 ," 2,957 ", 386 , 13 , 45 
Portugal, 869 , 85 , 183 , 551 , 25 , 10 , 15 
Qatar, 503 , 89 , 95 , 166 , 129 , 24 , - 
Romania," 3,160 ", 225 , 406 ," 1,890 ", 472 , 161 , 6 
Russia," 9,030 ", 457 ," 1,692 "," 4,249 "," 1,828 ", 779 , 25 
Rwanda," 1,107 ", D , 24 , 72 , 198 , 802 , D 
Saint Kitts-Nevis, 231 , 73 , 12 , 142 , D , - , D 
Saint Lucia, 743 , 191 , 33 , 507 , D , D , 6 
